feature,feature,type,p_value,relevant
"data__fft_coefficient__attr_""imag""__coeff_68","data__fft_coefficient__attr_""imag""__coeff_68",real,6.455734337835903e-47,True
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6","data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",real,7.695872410823339e-47,True
"data__fft_coefficient__attr_""real""__coeff_39","data__fft_coefficient__attr_""real""__coeff_39",real,8.166702566644376e-47,True
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6","data__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",real,8.2642536352532205e-47,True
"data__fft_coefficient__attr_""angle""__coeff_44","data__fft_coefficient__attr_""angle""__coeff_44",real,8.666192033775483e-47,True
"data__fft_coefficient__attr_""abs""__coeff_33","data__fft_coefficient__attr_""abs""__coeff_33",real,9.86523777532805e-47,True
"data__fft_coefficient__attr_""angle""__coeff_31","data__fft_coefficient__attr_""angle""__coeff_31",real,1.1323659385566609e-46,True
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4","data__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",real,1.2817500048845399e-46,True
"data__fft_coefficient__attr_""real""__coeff_72","data__fft_coefficient__attr_""real""__coeff_72",real,1.3254758638438332e-46,True
data__quantile__q_0.8,data__quantile__q_0.8,real,1.377043467910271e-46,True
"data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6","data__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",real,1.3925721265487767e-46,True
"data__fft_coefficient__attr_""abs""__coeff_55","data__fft_coefficient__attr_""abs""__coeff_55",real,1.8943486780782377e-46,True
"data__fft_coefficient__attr_""real""__coeff_41","data__fft_coefficient__attr_""real""__coeff_41",real,2.1070489987856288e-46,True
data__quantile__q_0.3,data__quantile__q_0.3,real,2.264355541726351e-46,True
"data__fft_coefficient__attr_""imag""__coeff_43","data__fft_coefficient__attr_""imag""__coeff_43",real,2.428048817174888e-46,True
"data__fft_coefficient__attr_""angle""__coeff_29","data__fft_coefficient__attr_""angle""__coeff_29",real,2.6373104625819073e-46,True
"data__fft_coefficient__attr_""imag""__coeff_44","data__fft_coefficient__attr_""imag""__coeff_44",real,2.732399726896482e-46,True
"data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4","data__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",real,2.764848295536212e-46,True
"data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4","data__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",real,3.111185905703602e-46,True
"data__fft_coefficient__attr_""real""__coeff_36","data__fft_coefficient__attr_""real""__coeff_36",real,4.016719805010581e-46,True
"data__fft_coefficient__attr_""real""__coeff_23","data__fft_coefficient__attr_""real""__coeff_23",real,4.8688567151760945e-46,True
"data__fft_coefficient__attr_""imag""__coeff_28","data__fft_coefficient__attr_""imag""__coeff_28",real,6.233518777538052e-46,True
data__ar_coefficient__coeff_4__k_10,data__ar_coefficient__coeff_4__k_10,real,7.010921156207177e-46,True
"data__fft_coefficient__attr_""abs""__coeff_54","data__fft_coefficient__attr_""abs""__coeff_54",real,1.6311880048425452e-45,True
"data__fft_coefficient__attr_""imag""__coeff_29","data__fft_coefficient__attr_""imag""__coeff_29",real,2.3166252692975446e-45,True
"data__fft_coefficient__attr_""abs""__coeff_93","data__fft_coefficient__attr_""abs""__coeff_93",real,2.57341607801554e-45,True
data__quantile__q_0.4,data__quantile__q_0.4,real,2.6013838780649995e-45,True
data__has_duplicate_max,data__has_duplicate_max,binary,3.168244791560259e-45,True
"data__fft_coefficient__attr_""angle""__coeff_41","data__fft_coefficient__attr_""angle""__coeff_41",real,3.2122798546440536e-45,True
"data__fft_coefficient__attr_""abs""__coeff_92","data__fft_coefficient__attr_""abs""__coeff_92",real,4.400317031976064e-45,True
"data__fft_coefficient__attr_""abs""__coeff_80","data__fft_coefficient__attr_""abs""__coeff_80",real,4.9436602862877034e-45,True
"data__fft_coefficient__attr_""abs""__coeff_90","data__fft_coefficient__attr_""abs""__coeff_90",real,5.5537207179640146e-45,True
"data__fft_coefficient__attr_""abs""__coeff_42","data__fft_coefficient__attr_""abs""__coeff_42",real,6.689287991991939e-45,True
"data__fft_coefficient__attr_""abs""__coeff_91","data__fft_coefficient__attr_""abs""__coeff_91",real,6.84658672634766e-45,True
"data__fft_coefficient__attr_""abs""__coeff_94","data__fft_coefficient__attr_""abs""__coeff_94",real,7.870727483426657e-45,True
"data__fft_coefficient__attr_""abs""__coeff_81","data__fft_coefficient__attr_""abs""__coeff_81",real,7.870727483426657e-45,True
"data__fft_coefficient__attr_""abs""__coeff_89","data__fft_coefficient__attr_""abs""__coeff_89",real,9.476989632032412e-45,True
"data__fft_coefficient__attr_""abs""__coeff_79","data__fft_coefficient__attr_""abs""__coeff_79",real,1.0278592911962482e-44,True
"data__fft_coefficient__attr_""abs""__coeff_17","data__fft_coefficient__attr_""abs""__coeff_17",real,1.19924225793327e-44,True
"data__fft_coefficient__attr_""abs""__coeff_40","data__fft_coefficient__attr_""abs""__coeff_40",real,1.2230650579000583e-44,True
"data__fft_coefficient__attr_""abs""__coeff_88","data__fft_coefficient__attr_""abs""__coeff_88",real,1.2230650579000583e-44,True
"data__fft_coefficient__attr_""abs""__coeff_95","data__fft_coefficient__attr_""abs""__coeff_95",real,1.7714556753508133e-44,True
"data__fft_coefficient__attr_""imag""__coeff_31","data__fft_coefficient__attr_""imag""__coeff_31",real,1.7957738707851592e-44,True
"data__fft_coefficient__attr_""abs""__coeff_87","data__fft_coefficient__attr_""abs""__coeff_87",real,1.8339923122907946e-44,True
"data__fft_coefficient__attr_""abs""__coeff_41","data__fft_coefficient__attr_""abs""__coeff_41",real,2.082674872592185e-44,True
"data__fft_coefficient__attr_""abs""__coeff_82","data__fft_coefficient__attr_""abs""__coeff_82",real,2.2581125494556023e-44,True
"data__fft_coefficient__attr_""abs""__coeff_56","data__fft_coefficient__attr_""abs""__coeff_56",real,2.364885243321746e-44,True
"data__fft_coefficient__attr_""abs""__coeff_53","data__fft_coefficient__attr_""abs""__coeff_53",real,2.563962498646915e-44,True
"data__fft_coefficient__attr_""abs""__coeff_83","data__fft_coefficient__attr_""abs""__coeff_83",real,2.8446002652249944e-44,True
"data__fft_coefficient__attr_""abs""__coeff_68","data__fft_coefficient__attr_""abs""__coeff_68",real,3.304743230294695e-44,True
"data__fft_coefficient__attr_""abs""__coeff_8","data__fft_coefficient__attr_""abs""__coeff_8",real,3.4008335321562227e-44,True
"data__fft_coefficient__attr_""abs""__coeff_78","data__fft_coefficient__attr_""abs""__coeff_78",real,3.838882271994098e-44,True
"data__fft_coefficient__attr_""abs""__coeff_86","data__fft_coefficient__attr_""abs""__coeff_86",real,4.3074750461195575e-44,True
"data__fft_coefficient__attr_""abs""__coeff_84","data__fft_coefficient__attr_""abs""__coeff_84",real,6.153082334874275e-44,True
"data__fft_coefficient__attr_""abs""__coeff_96","data__fft_coefficient__attr_""abs""__coeff_96",real,7.144216197625351e-44,True
"data__fft_coefficient__attr_""abs""__coeff_67","data__fft_coefficient__attr_""abs""__coeff_67",real,7.742117257866034e-44,True
"data__fft_coefficient__attr_""abs""__coeff_69","data__fft_coefficient__attr_""abs""__coeff_69",real,7.921912031363843e-44,True
"data__fft_coefficient__attr_""abs""__coeff_85","data__fft_coefficient__attr_""abs""__coeff_85",real,8.683591930322289e-44,True
"data__fft_coefficient__attr_""angle""__coeff_25","data__fft_coefficient__attr_""angle""__coeff_25",real,8.885130911143337e-44,True
"data__fft_coefficient__attr_""abs""__coeff_66","data__fft_coefficient__attr_""abs""__coeff_66",real,8.987638683101343e-44,True
data__number_peaks__n_10,data__number_peaks__n_10,real,9.610598534625316e-44,True
"data__fft_coefficient__attr_""abs""__coeff_70","data__fft_coefficient__attr_""abs""__coeff_70",real,1.1433924788679773e-43,True
"data__fft_coefficient__attr_""abs""__coeff_77","data__fft_coefficient__attr_""abs""__coeff_77",real,1.3891092650669172e-43,True
"data__fft_coefficient__attr_""abs""__coeff_65","data__fft_coefficient__attr_""abs""__coeff_65",real,1.421270896969582e-43,True
"data__fft_coefficient__attr_""abs""__coeff_97","data__fft_coefficient__attr_""abs""__coeff_97",real,1.611864264574145e-43,True
"data__fft_coefficient__attr_""real""__coeff_46","data__fft_coefficient__attr_""real""__coeff_46",real,1.706704811719725e-43,True
"data__fft_coefficient__attr_""real""__coeff_55","data__fft_coefficient__attr_""real""__coeff_55",real,1.7865579513908494e-43,True
"data__fft_coefficient__attr_""abs""__coeff_64","data__fft_coefficient__attr_""abs""__coeff_64",real,2.0726480801626456e-43,True
"data__fft_coefficient__attr_""abs""__coeff_71","data__fft_coefficient__attr_""abs""__coeff_71",real,2.0964558052674262e-43,True
"data__fft_coefficient__attr_""abs""__coeff_99","data__fft_coefficient__attr_""abs""__coeff_99",real,2.1205355734941983e-43,True
"data__fft_coefficient__attr_""imag""__coeff_21","data__fft_coefficient__attr_""imag""__coeff_21",real,2.1448904769154553e-43,True
"data__fft_coefficient__attr_""abs""__coeff_98","data__fft_coefficient__attr_""abs""__coeff_98",real,2.219637445767318e-43,True
data__energy_ratio_by_chunks__num_segments_10__segment_focus_1,data__energy_ratio_by_chunks__num_segments_10__segment_focus_1,real,2.3603558211454897e-43,True
"data__fft_coefficient__attr_""abs""__coeff_72","data__fft_coefficient__attr_""abs""__coeff_72",real,2.604191365366206e-43,True
data__first_location_of_maximum,data__first_location_of_maximum,real,2.946434879796772e-43,True
"data__fft_coefficient__attr_""abs""__coeff_63","data__fft_coefficient__attr_""abs""__coeff_63",real,3.1254069529399706e-43,True
"data__fft_coefficient__attr_""angle""__coeff_40","data__fft_coefficient__attr_""angle""__coeff_40",real,3.197462962614044e-43,True
"data__fft_coefficient__attr_""angle""__coeff_56","data__fft_coefficient__attr_""angle""__coeff_56",real,3.542715870399623e-43,True
"data__fft_coefficient__attr_""abs""__coeff_73","data__fft_coefficient__attr_""abs""__coeff_73",real,3.836675080823492e-43,True
"data__fft_coefficient__attr_""abs""__coeff_43","data__fft_coefficient__attr_""abs""__coeff_43",real,4.015417472117311e-43,True
data__range_count__max_1000000000000.0__min_0,data__range_count__max_1000000000000.0__min_0,real,4.346988814375067e-43,True
data__count_above__t_0,data__count_above__t_0,real,4.346988814375067e-43,True
data__range_count__max_0__min_-1000000000000.0,data__range_count__max_0__min_-1000000000000.0,real,4.346988814375067e-43,True
data__quantile__q_0.7,data__quantile__q_0.7,real,5.496610159146553e-43,True
"data__fft_coefficient__attr_""imag""__coeff_42","data__fft_coefficient__attr_""imag""__coeff_42",real,9.096897556225084e-43,True
"data__fft_coefficient__attr_""abs""__coeff_74","data__fft_coefficient__attr_""abs""__coeff_74",real,1.0304355427658759e-42,True
"data__fft_coefficient__attr_""abs""__coeff_75","data__fft_coefficient__attr_""abs""__coeff_75",real,1.180398657706468e-42,True
"data__fft_coefficient__attr_""abs""__coeff_52","data__fft_coefficient__attr_""abs""__coeff_52",real,1.336848791880893e-42,True
"data__fft_coefficient__attr_""abs""__coeff_76","data__fft_coefficient__attr_""abs""__coeff_76",real,1.3829868029871132e-42,True
"data__fft_coefficient__attr_""abs""__coeff_62","data__fft_coefficient__attr_""abs""__coeff_62",real,1.8553150447684907e-42,True
"data__fft_coefficient__attr_""angle""__coeff_49","data__fft_coefficient__attr_""angle""__coeff_49",real,2.5733997158669e-42,True
"data__fft_coefficient__attr_""abs""__coeff_57","data__fft_coefficient__attr_""abs""__coeff_57",real,2.6320702114890526e-42,True
"data__fft_coefficient__attr_""imag""__coeff_37","data__fft_coefficient__attr_""imag""__coeff_37",real,2.7225797513264177e-42,True
"data__fft_coefficient__attr_""real""__coeff_45","data__fft_coefficient__attr_""real""__coeff_45",real,3.4103660126405335e-42,True
"data__fft_coefficient__attr_""angle""__coeff_55","data__fft_coefficient__attr_""angle""__coeff_55",real,4.887316275700758e-42,True
data__lempel_ziv_complexity__bins_100,data__lempel_ziv_complexity__bins_100,real,1.1474046354744462e-41,True
"data__fft_coefficient__attr_""real""__coeff_47","data__fft_coefficient__attr_""real""__coeff_47",real,1.171449287066043e-41,True
"data__fft_coefficient__attr_""abs""__coeff_61","data__fft_coefficient__attr_""abs""__coeff_61",real,1.4008165878472305e-41,True
"data__fft_coefficient__attr_""abs""__coeff_58","data__fft_coefficient__attr_""abs""__coeff_58",real,2.529812523765249e-41,True
"data__fft_coefficient__attr_""angle""__coeff_57","data__fft_coefficient__attr_""angle""__coeff_57",real,2.674629391143131e-41,True
"data__fft_coefficient__attr_""angle""__coeff_28","data__fft_coefficient__attr_""angle""__coeff_28",real,3.5715544433111207e-41,True
"data__fft_coefficient__attr_""abs""__coeff_51","data__fft_coefficient__attr_""abs""__coeff_51",real,4.362053767260717e-41,True
"data__fft_coefficient__attr_""abs""__coeff_44","data__fft_coefficient__attr_""abs""__coeff_44",real,4.509766950696934e-41,True
data__ar_coefficient__coeff_10__k_10,data__ar_coefficient__coeff_10__k_10,real,4.768751948927077e-41,True
"data__fft_coefficient__attr_""angle""__coeff_30","data__fft_coefficient__attr_""angle""__coeff_30",real,5.385749345602902e-41,True
"data__fft_coefficient__attr_""abs""__coeff_16","data__fft_coefficient__attr_""abs""__coeff_16",real,5.629608084644015e-41,True
"data__fft_coefficient__attr_""imag""__coeff_46","data__fft_coefficient__attr_""imag""__coeff_46",real,6.82958558376196e-41,True
"data__fft_coefficient__attr_""angle""__coeff_21","data__fft_coefficient__attr_""angle""__coeff_21",real,8.11399924220465e-41,True
"data__fft_coefficient__attr_""imag""__coeff_27","data__fft_coefficient__attr_""imag""__coeff_27",real,1.0122285482149501e-40,True
"data__fft_coefficient__attr_""abs""__coeff_59","data__fft_coefficient__attr_""abs""__coeff_59",real,1.1815159018562685e-40,True
"data__fft_coefficient__attr_""abs""__coeff_60","data__fft_coefficient__attr_""abs""__coeff_60",real,1.6632187922769333e-40,True
"data__fft_coefficient__attr_""abs""__coeff_32","data__fft_coefficient__attr_""abs""__coeff_32",real,2.441175890705412e-40,True
"data__fft_coefficient__attr_""real""__coeff_56","data__fft_coefficient__attr_""real""__coeff_56",real,3.516198443120093e-40,True
"data__fft_coefficient__attr_""abs""__coeff_27","data__fft_coefficient__attr_""abs""__coeff_27",real,3.631004123781814e-40,True
"data__fft_coefficient__attr_""angle""__coeff_20","data__fft_coefficient__attr_""angle""__coeff_20",real,4.280301354641166e-40,True
"data__fft_coefficient__attr_""imag""__coeff_30","data__fft_coefficient__attr_""imag""__coeff_30",real,4.423397607754736e-40,True
data__last_location_of_maximum,data__last_location_of_maximum,real,1.0004635257648863e-39,True
"data__fft_coefficient__attr_""angle""__coeff_58","data__fft_coefficient__attr_""angle""__coeff_58",real,1.0960702282082048e-39,True
"data__fft_coefficient__attr_""real""__coeff_30","data__fft_coefficient__attr_""real""__coeff_30",real,1.3930173014896269e-39,True
"data__fft_coefficient__attr_""abs""__coeff_45","data__fft_coefficient__attr_""abs""__coeff_45",real,3.907814161930484e-39,True
"data__fft_coefficient__attr_""abs""__coeff_50","data__fft_coefficient__attr_""abs""__coeff_50",real,5.347608795079309e-39,True
"data__fft_coefficient__attr_""angle""__coeff_76","data__fft_coefficient__attr_""angle""__coeff_76",real,9.156346542392508e-39,True
data__large_standard_deviation__r_0.05,data__large_standard_deviation__r_0.05,binary,1.031257508077775e-38,True
"data__fft_coefficient__attr_""real""__coeff_87","data__fft_coefficient__attr_""real""__coeff_87",real,1.7571066523434425e-38,True
"data__fft_coefficient__attr_""imag""__coeff_83","data__fft_coefficient__attr_""imag""__coeff_83",real,1.9380292959608559e-38,True
data__number_cwt_peaks__n_1,data__number_cwt_peaks__n_1,real,2.2118230293354406e-38,True
"data__fft_coefficient__attr_""abs""__coeff_28","data__fft_coefficient__attr_""abs""__coeff_28",real,2.2136933728335515e-38,True
data__partial_autocorrelation__lag_6,data__partial_autocorrelation__lag_6,real,2.3783474698526845e-38,True
"data__fft_coefficient__attr_""angle""__coeff_50","data__fft_coefficient__attr_""angle""__coeff_50",real,5.318831304697083e-38,True
"data__fft_coefficient__attr_""real""__coeff_29","data__fft_coefficient__attr_""real""__coeff_29",real,7.399925060243616e-38,True
data__lempel_ziv_complexity__bins_2,data__lempel_ziv_complexity__bins_2,real,1.1216759092259262e-37,True
"data__fft_coefficient__attr_""angle""__coeff_79","data__fft_coefficient__attr_""angle""__coeff_79",real,1.9641828621640448e-37,True
"data__fft_coefficient__attr_""imag""__coeff_58","data__fft_coefficient__attr_""imag""__coeff_58",real,2.426715411828558e-37,True
"data__matrix_profile__feature_""min""__threshold_0.98","data__matrix_profile__feature_""min""__threshold_0.98",real,3.820081812618314e-37,True
"data__fft_coefficient__attr_""angle""__coeff_91","data__fft_coefficient__attr_""angle""__coeff_91",real,4.6031997361831065e-37,True
"data__matrix_profile__feature_""max""__threshold_0.98","data__matrix_profile__feature_""max""__threshold_0.98",real,5.056309410671792e-37,True
"data__fft_coefficient__attr_""abs""__coeff_13","data__fft_coefficient__attr_""abs""__coeff_13",real,5.2941926458901265e-37,True
"data__linear_trend__attr_""pvalue""","data__linear_trend__attr_""pvalue""",real,5.878487249164581e-37,True
"data__fft_coefficient__attr_""imag""__coeff_48","data__fft_coefficient__attr_""imag""__coeff_48",real,6.2638217767569835e-37,True
"data__fft_coefficient__attr_""abs""__coeff_15","data__fft_coefficient__attr_""abs""__coeff_15",real,6.47062270788683e-37,True
"data__fft_coefficient__attr_""real""__coeff_64","data__fft_coefficient__attr_""real""__coeff_64",real,9.329656787853859e-37,True
"data__fft_coefficient__attr_""imag""__coeff_47","data__fft_coefficient__attr_""imag""__coeff_47",real,1.1269105313353662e-36,True
"data__fft_coefficient__attr_""real""__coeff_31","data__fft_coefficient__attr_""real""__coeff_31",real,1.1269105313353662e-36,True
"data__fft_coefficient__attr_""abs""__coeff_11","data__fft_coefficient__attr_""abs""__coeff_11",real,1.6249150734332197e-36,True
"data__fft_coefficient__attr_""abs""__coeff_46","data__fft_coefficient__attr_""abs""__coeff_46",real,2.292777444163323e-36,True
"data__fft_coefficient__attr_""imag""__coeff_57","data__fft_coefficient__attr_""imag""__coeff_57",real,2.3167980869435775e-36,True
data__spkt_welch_density__coeff_5,data__spkt_welch_density__coeff_5,real,3.739225483018251e-36,True
"data__fft_coefficient__attr_""abs""__coeff_12","data__fft_coefficient__attr_""abs""__coeff_12",real,3.8576112760868426e-36,True
"data__fft_coefficient__attr_""abs""__coeff_49","data__fft_coefficient__attr_""abs""__coeff_49",real,4.063253973960714e-36,True
"data__fft_coefficient__attr_""real""__coeff_44","data__fft_coefficient__attr_""real""__coeff_44",real,4.650333737593064e-36,True
"data__fft_coefficient__attr_""imag""__coeff_49","data__fft_coefficient__attr_""imag""__coeff_49",real,5.902800744987367e-36,True
"data__fft_coefficient__attr_""imag""__coeff_91","data__fft_coefficient__attr_""imag""__coeff_91",real,1.0477373895907741e-35,True
"data__fft_coefficient__attr_""abs""__coeff_14","data__fft_coefficient__attr_""abs""__coeff_14",real,1.1559317317700885e-35,True
data__ar_coefficient__coeff_3__k_10,data__ar_coefficient__coeff_3__k_10,real,1.530152507930464e-35,True
"data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""","data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",real,1.9748915642823016e-35,True
"data__fft_coefficient__attr_""angle""__coeff_45","data__fft_coefficient__attr_""angle""__coeff_45",real,2.660270201893971e-35,True
data__binned_entropy__max_bins_10,data__binned_entropy__max_bins_10,real,2.715436366349849e-35,True
"data__fft_coefficient__attr_""angle""__coeff_48","data__fft_coefficient__attr_""angle""__coeff_48",real,2.715436366349849e-35,True
"data__fft_coefficient__attr_""imag""__coeff_24","data__fft_coefficient__attr_""imag""__coeff_24",real,3.927261120535328e-35,True
"data__fft_coefficient__attr_""angle""__coeff_70","data__fft_coefficient__attr_""angle""__coeff_70",real,4.091400505071858e-35,True
"data__fft_coefficient__attr_""angle""__coeff_64","data__fft_coefficient__attr_""angle""__coeff_64",real,4.3061900796274783e-35,True
"data__fft_coefficient__attr_""imag""__coeff_41","data__fft_coefficient__attr_""imag""__coeff_41",real,4.868490222354408e-35,True
"data__fft_coefficient__attr_""imag""__coeff_20","data__fft_coefficient__attr_""imag""__coeff_20",real,5.071681771250441e-35,True
"data__fft_coefficient__attr_""angle""__coeff_98","data__fft_coefficient__attr_""angle""__coeff_98",real,6.033510614201118e-35,True
"data__fft_coefficient__attr_""real""__coeff_71","data__fft_coefficient__attr_""real""__coeff_71",real,6.22304433914787e-35,True
"data__fft_coefficient__attr_""angle""__coeff_75","data__fft_coefficient__attr_""angle""__coeff_75",real,7.127821447060882e-35,True
"data__fft_coefficient__attr_""angle""__coeff_54","data__fft_coefficient__attr_""angle""__coeff_54",real,7.70724281323976e-35,True
"data__fft_coefficient__attr_""real""__coeff_18","data__fft_coefficient__attr_""real""__coeff_18",real,8.277133893704235e-35,True
"data__fft_coefficient__attr_""angle""__coeff_71","data__fft_coefficient__attr_""angle""__coeff_71",real,8.979853520451745e-35,True
"data__fft_coefficient__attr_""real""__coeff_22","data__fft_coefficient__attr_""real""__coeff_22",real,1.4628929333924722e-34,True
"data__fft_coefficient__attr_""abs""__coeff_31","data__fft_coefficient__attr_""abs""__coeff_31",real,1.658281584606698e-34,True
"data__fft_coefficient__attr_""angle""__coeff_72","data__fft_coefficient__attr_""angle""__coeff_72",real,1.7207225274784174e-34,True
"data__fft_coefficient__attr_""angle""__coeff_90","data__fft_coefficient__attr_""angle""__coeff_90",real,1.7812783916903231e-34,True
"data__fft_coefficient__attr_""abs""__coeff_48","data__fft_coefficient__attr_""abs""__coeff_48",real,2.0236454189664884e-34,True
"data__fft_coefficient__attr_""real""__coeff_32","data__fft_coefficient__attr_""real""__coeff_32",real,2.331813139245479e-34,True
"data__fft_coefficient__attr_""abs""__coeff_47","data__fft_coefficient__attr_""abs""__coeff_47",real,2.686555762737531e-34,True
"data__fft_coefficient__attr_""imag""__coeff_59","data__fft_coefficient__attr_""imag""__coeff_59",real,2.7138552401287743e-34,True
"data__fft_coefficient__attr_""angle""__coeff_59","data__fft_coefficient__attr_""angle""__coeff_59",real,4.27436316445849e-34,True
"data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""","data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",real,4.656245668700198e-34,True
"data__fft_coefficient__attr_""angle""__coeff_84","data__fft_coefficient__attr_""angle""__coeff_84",real,5.443124436316305e-34,True
"data__fft_coefficient__attr_""angle""__coeff_61","data__fft_coefficient__attr_""angle""__coeff_61",real,6.135089833985172e-34,True
"data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""","data__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",real,6.142454478695971e-34,True
"data__fft_coefficient__attr_""angle""__coeff_69","data__fft_coefficient__attr_""angle""__coeff_69",real,6.266241304030196e-34,True
"data__fft_coefficient__attr_""real""__coeff_62","data__fft_coefficient__attr_""real""__coeff_62",real,7.069414643859337e-34,True
"data__fft_coefficient__attr_""imag""__coeff_75","data__fft_coefficient__attr_""imag""__coeff_75",real,7.558180479755597e-34,True
"data__fft_coefficient__attr_""angle""__coeff_93","data__fft_coefficient__attr_""angle""__coeff_93",real,8.728526129935876e-34,True
data__quantile__q_0.6,data__quantile__q_0.6,real,1.059971673448278e-33,True
"data__fft_coefficient__attr_""real""__coeff_79","data__fft_coefficient__attr_""real""__coeff_79",real,1.0813062337502884e-33,True
"data__fft_coefficient__attr_""abs""__coeff_9","data__fft_coefficient__attr_""abs""__coeff_9",real,1.0944010371499972e-33,True
"data__fft_coefficient__attr_""imag""__coeff_56","data__fft_coefficient__attr_""imag""__coeff_56",real,1.2028446570384666e-33,True
"data__fft_coefficient__attr_""angle""__coeff_37","data__fft_coefficient__attr_""angle""__coeff_37",real,1.2519791825340494e-33,True
"data__fft_coefficient__attr_""abs""__coeff_10","data__fft_coefficient__attr_""abs""__coeff_10",real,1.3837116199027711e-33,True
"data__fft_coefficient__attr_""angle""__coeff_99","data__fft_coefficient__attr_""angle""__coeff_99",real,1.4116654374199783e-33,True
"data__fft_coefficient__attr_""imag""__coeff_19","data__fft_coefficient__attr_""imag""__coeff_19",real,1.5292020889253301e-33,True
"data__fft_coefficient__attr_""angle""__coeff_73","data__fft_coefficient__attr_""angle""__coeff_73",real,1.706838370450665e-33,True
"data__fft_coefficient__attr_""real""__coeff_21","data__fft_coefficient__attr_""real""__coeff_21",real,1.812219097782047e-33,True
"data__fft_coefficient__attr_""imag""__coeff_60","data__fft_coefficient__attr_""imag""__coeff_60",real,2.4582052388198948e-33,True
"data__fft_coefficient__attr_""angle""__coeff_19","data__fft_coefficient__attr_""angle""__coeff_19",real,2.895057982302006e-33,True
"data__fft_coefficient__attr_""real""__coeff_54","data__fft_coefficient__attr_""real""__coeff_54",real,2.9240103953222147e-33,True
"data__fft_coefficient__attr_""angle""__coeff_7","data__fft_coefficient__attr_""angle""__coeff_7",real,4.135829814958787e-33,True
"data__fft_coefficient__attr_""imag""__coeff_61","data__fft_coefficient__attr_""imag""__coeff_61",real,6.397707562201695e-33,True
"data__fft_coefficient__attr_""imag""__coeff_50","data__fft_coefficient__attr_""imag""__coeff_50",real,1.0705116759077669e-32,True
"data__fft_coefficient__attr_""angle""__coeff_78","data__fft_coefficient__attr_""angle""__coeff_78",real,1.603098777631932e-32,True
"data__fft_coefficient__attr_""real""__coeff_34","data__fft_coefficient__attr_""real""__coeff_34",real,1.6547141206090414e-32,True
"data__fft_coefficient__attr_""real""__coeff_48","data__fft_coefficient__attr_""real""__coeff_48",real,1.7687187150385065e-32,True
"data__fft_coefficient__attr_""real""__coeff_61","data__fft_coefficient__attr_""real""__coeff_61",real,1.786187373943195e-32,True
"data__fft_coefficient__attr_""imag""__coeff_66","data__fft_coefficient__attr_""imag""__coeff_66",real,1.9900245799072606e-32,True
"data__fft_coefficient__attr_""imag""__coeff_67","data__fft_coefficient__attr_""imag""__coeff_67",real,2.0291399503045057e-32,True
"data__fft_coefficient__attr_""angle""__coeff_65","data__fft_coefficient__attr_""angle""__coeff_65",real,2.069739365979312e-32,True
"data__fft_coefficient__attr_""real""__coeff_69","data__fft_coefficient__attr_""real""__coeff_69",real,2.1526241616891914e-32,True
"data__fft_coefficient__attr_""abs""__coeff_29","data__fft_coefficient__attr_""abs""__coeff_29",real,2.3513613767775236e-32,True
"data__fft_coefficient__attr_""imag""__coeff_18","data__fft_coefficient__attr_""imag""__coeff_18",real,3.217271310065482e-32,True
"data__fft_coefficient__attr_""real""__coeff_33","data__fft_coefficient__attr_""real""__coeff_33",real,3.4118189810262875e-32,True
data__lempel_ziv_complexity__bins_3,data__lempel_ziv_complexity__bins_3,real,3.659029703344526e-32,True
"data__fft_coefficient__attr_""real""__coeff_59","data__fft_coefficient__attr_""real""__coeff_59",real,3.836640078346479e-32,True
"data__fft_coefficient__attr_""angle""__coeff_85","data__fft_coefficient__attr_""angle""__coeff_85",real,3.9508065393442814e-32,True
"data__fft_coefficient__attr_""angle""__coeff_63","data__fft_coefficient__attr_""angle""__coeff_63",real,4.99423379692093e-32,True
"data__fft_coefficient__attr_""real""__coeff_49","data__fft_coefficient__attr_""real""__coeff_49",real,5.29364383039604e-32,True
"data__fft_coefficient__attr_""imag""__coeff_51","data__fft_coefficient__attr_""imag""__coeff_51",real,5.780933444977074e-32,True
"data__fft_coefficient__attr_""real""__coeff_17","data__fft_coefficient__attr_""real""__coeff_17",real,6.372564399809723e-32,True
